Task,Priority,Deadline,Status,Contact,Action Details
Send quote requests to all 5 suppliers,URGENT,Tonight (Jan 28),PENDING,See DC_BPA_SUPPLIERS.csv,Use email template - request quotes by EOD Jan 29
Download Doc810849 solicitation,URGENT,Tonight (Jan 28),PENDING,denisej.wells@dc.gov,Access DC procurement portal or email Denise Wells
Review solicitation requirements,HIGH,Tomorrow morning (Jan 29),PENDING,,Read full document and note all requirements
Follow up suppliers by phone,HIGH,Tomorrow morning 8-10 AM,PENDING,See DC_BPA_SUPPLIERS.csv,Call if no email responses received
Collect supplier quotes,HIGH,Tomorrow afternoon (Jan 29),PENDING,,Compare pricing and terms from all suppliers
Select supplier and calculate pricing,HIGH,Tomorrow afternoon (Jan 29),PENDING,,15-25% margin above supplier cost
Complete bid forms,HIGH,Tomorrow evening (Jan 29),PENDING,,Fill out all required forms and attachments
Include certifications,MEDIUM,Tomorrow evening (Jan 29),PENDING,,EDWOSB WOSB MBE WBE certificates
Write cover letter,MEDIUM,Tomorrow evening (Jan 29),PENDING,,Highlight woman-owned advantages
Final bid review,HIGH,Thursday morning (Jan 30),PENDING,,Quality check all documents
Submit bid,CRITICAL,Thursday Jan 30 by 3:00 PM,PENDING,denisej.wells@dc.gov,Submit via DC portal before deadline
Confirm submission received,HIGH,Thursday Jan 30 by 3:30 PM,PENDING,denisej.wells@dc.gov,Email or call to confirm receipt
