Item #,Description,ASTM Specification,Quantity,Unit,Your Part Number,Unit Price,Extended Total,Lead Time,Notes
1,"I100, ADOPT-A-ROAD RCOC, 24x24",ASTM TYPE IV,40,each,,,,,
2,"R15-1, GRADE CROSSING, RR X-BUCK, 48x9",ASTM TYPE IV,5,each,,,,,
3,"R8-3, NO PARKING, (SYM) 12X2",ASTM TYPE IV,120,each,,,,,
4,"R6-1R, ONE WAY ARROW (RIGHT) 36X12",ASTM TYPE IV,100,each,,,,,
5,"OM3-L,LEFT OBJECT MARKER, TYPE 3, (LFT SD OF RD) 12X36","ASTM XI, FY",5,each,,,,,
6,"OM3-R, OBJECT MARKER, TYPE 3 (RT SD OF ROAD)12X36","ASTM XI, FY",15,each,,,,,
7,"R5-1A, WRONG WAY, 30x18",ASTM TYPE IV,25,each,,,,,
8,"OM4-3, OBJECT MARKER,K TYPE 4, 18X18",ASTM TYPE XI,30,each,,,,,
9,"M11 MOD, INTERSTATE RT MARKER, (BLANK 1,2 DIGIT) 24X24",ASTM TYPE IV,10,each,,,,,
10,"R3-1 MOV.PROB., NO LEFT TURN (SYM), 24X24",ASTM TYPE IV,50,each,,,,,
11,"R8-3 NO PARKING (SYM), 24X24",ASTM TYPE IV,20,each,,,,,
12,"W1-8RL CHEVRON, ALIGN, 24X30  24x30","ASTM TYPE XI, FY",350,each,,,,,
13,"R4-1 DO NOT PASS, 24X30",ASTM TYPE IV,75,each,,,,,
14,"R100 WEIGHT ROAD, NORMAL LOADING (CLASSB)","30X24 ASTM TYPE IV, DOUBLE SIDED",300,each,,,,,
15,"S5-2 END SCHOOL ZONE, 24X30",ASTM TYPE IV,10,each,,,,,
16,"R4-7 KEEP RIGHT (SYM), 24X30",ASTM TYPE IV,40,each,,,,,
17,"R4-2 PASS WITH CARE, 24X90",ASTM TYPE IV,50,each,,,,,
18,"R2-1 SPEED LIMIT 25, 24X30",ASTM TYPE IV,150,each,,,,,
19,"R2-1 SPEED LIMIT 35, 24X30",ASTM TYPE IV,20,each,,,,,
20,"R2-1 SPEED LIMIT 40, 24X30",ASTM TYPE IV,40,each,,,,,
21,"R2-1 SPEED LIMIT 45, 24X30",ASTM TYPE IV,50,each,,,,,
22,"R10-6 STOP HERE ON RED, 24X36",ASTM TYPE IV,50,each,,,,,
23,"R5-1A WRONG WAY, 36X24",ASTM TYPE IV,35,each,,,,,
24,W1-7RL LARGE ARROW (2-DIRECTION) 48X24X0.080,"ASTM TYPE XI, FY",20,each,,,,,
25,W1-6RL LARGE ARROW (1 DIRECTION) 48X24X0.125,"ASTM TYPE XI, FY",75,each,,,,,
26,"M1-1 MOD, INTERSTATE RT MARKER, (BLANK 3 DIGIT) 30X24",ASTM TYPE IV,10,each,,,,,
27,"W14-1 DEAD END, 30X30","ASTM XI, FY",40,each,,,,,
28,"R5-1 DO NOT ENTER, 30X30",ASTM TYPE IV,50,each,,,,,
29,"R3-7L LEFT LANE MUST TURN LEFT, 30X30",ASTM TYPE IV,20,each,,,,,
30,"W1-1L HORIZ ALIGN, TURN, 30X30","ASTM TYPE X1, FY",10,each,,,,,
31,"R3-1 MOVE.PROH., NO LEFT TURN (SYM), 30X30",ASTM TYPE IV,10,each,,,,,
32,"W14-2 NO OUTLET, 30X30","ASTM TYPE XI, FY",10,each,,,,,
33,"R10-11A NO TURN ON CIRCULAR BALL, 24X30",ASTM TYPE IV,10,each,,,,,
34,"R3-7R RIGHT LANE MUST TURN RIGHT, 30X30",ASTM TYPE IV,50,each,,,,,
35,"W100 ROAD ENDS, 30X30","ASTM TYPE XI, FY",25,each,,,,,
36,"R1-1 STOP, 30X30",ASTM TYPE IV,600,each,,,,,
37,"R100 WEIGHT BRIDGE (BLANK), 30X42",ASTM TYPE IV,15,each,,,,,
38,"R11-2 ROAD CLOSED, 48X30",ASTM TYPE IV,10,each,,,,,
39,"R11-4 ROAD CLOSED TO THROUGH/THRU TRAFFIC, 60X30",ASTM TYPE IV,10,each,,,,,
40,"I100 WEIGHT BRIDGE, ON BRIDGE AHEAD, (BLANK) 30X54",ASTM TYPE IV,10,each,,,,,
41,"R1-2 YIELD, 36X36",ASTM TYPE IV,100,each,,,,,
42,"W8-13 BRIDGE ICES BEFORE ROAD, 36X36","ASTM TYPE XI, FY",20,each,,,,,
43,"R5-1 DO NOT ENTER, 36X36",ASTM TYPE IV,25,each,,,,,
44,"W11-8 EMERGENCY VEHICLE/FIRE ENGINE, 36X36","ASTM TYPE XI, FY",10,each,,,,,
45,"W1-2L HORIZ.ALIGN, CURVE, 36X36","ASTM TYPE XI, FY",20,each,,,,,
46,"W01-4L HORIZ. ALIGN, REVERSE CURVE, 36X36","ASTM TYPE XI, FY",10,each,,,,,
47,"W1-1L HORIZ. ALIGN, TURN, 36X36","ASTM TYPE XI, FY",10,each,,,,,
48,"R3-1 MOVE.PROB., NO LEFT TURN (SYM) 36X36",ASTM TYPE IV,5,each,,,,,
49,"R3-3 MOVE. PROB., NO TURNS, 36X36",ASTM TYPE IV,5,each,,,,,
50,"W8-3 PAVEMENT ENDS, 36X36","ASTM TYPE XI, FY",5,each,,,,,
51,"W11-2 PEDESTRIAN, 36X36","ASTM TYPE XI, FY",30,each,,,,,
52,"W1-2R HORIZ, ALIGN., CURVE, 26X36","ASTM TYPE XI, FY",20,each,,,,,
53,"W4-2R LANE ENDS (COKE BOTTLE), 36X36","ASTM TYPE XI, FY",20,each,,,,,
54,"W3-3 SIGNAL AHEAD, 36X36","ASTM TYPE XI, FY",15,each,,,,,
55,"R1-1 STOP, 36X36",ASTM TYPE IV,20,each,,,,,
56,"W3-1 STOP AHEAD, 36X36","ASTM TYPE XI, FY",15,each,,,,,
57,"W4-1R MERGE, 48X48","ASTM TYPE XI, FY",5,each,,,,,
58,"W11-3 LARGE ANIMAL, DEER, 36X36","ASTM TYPE XI, FY",20,each,,,,,
59,"W3-5 REDUCED SPEED LIMIT AHEAD, (BLANK), 36X36","ASTM TYPE XI, FY",10,each,,,,,
60,"S4-5 REDUCED SCHOOL SPEED LIMIT AHEAD (BLANK), 36X36","ASTM TYPE XI, FYG",10,each,,,,,
61,"W100 HIDDEN DRIVEWAYS, 36X36","ASTM TYPE XI, FY",15,each,,,,,
62,"W16-9P AHEAD (PLAQUE FOR SCHOOL), 30X18","ASTM TYPE XI, FYG",20,each,,,,,
63,"W16-7PL DOWNWARD DIAGONAL ARROW (PLAQUE), 30X18","ASTM TYPE XI, FY",10,each,,,,,
64,"W14-1AR DEAD END, RIGHT ARROW, 36X9X0.063","ASTM TYPE XI, FY",20,each,,,,,
65,"W14-1AL DEAD END, LEFT ARROW, 36X9X0.063","ASTM TYPE XI, FY",20,each,,,,,
66,"W14-2AR NO OUTLET, RIGHT ARROW, 36X9X0.063","ASTM TYPE XI, FY",15,each,,,,,
67,"W14-2AL NO OUTLET, LEFT ARROW, 36X9X0.063","ASTM TYPE XI, FY",15,each,,,,,
68,"R1-5R YIELD HERE TO PEDESTRIANS, RIGHT ARROW, 36X36",ASTM TYPE IV,5,each,,,,,
69,"R1-5L YIELD HERE TO PEDESTRIANS, LEFT ARROW, 36X36",ASTM TYPE IV,5,each,,,,,
70,"R10-3E COUNTDOWN PEDESTRIAN, RIGHT ARROW, 9X15",ASTM TYPE IV,50,each,,,,,
71,"R10-3E COUNTDOWN PEDESTRIAN, LEFT ARROW, 9X15",ASTM TYPE IV,50,each,,,,,
72,"REFLECTIVE PANEL FOR SIGN POST, RED, 3X60",ASTM TYPE IV,150,each,,,,,
73,"R02-6AP FINES DOUBLE (PLAQUE), 24X18",ASTM TYPE IV,20,each,,,,,
74,"REFLECTIVE PANEL FOR SIGN POST, YELLOW, 3X60",ASTM TYPE IV,300,each,,,,,
75,"I100 WEIGHT ROAD, DESIGNATED LOADING, CLASS A, 24X30",ASTM TYPE IV,50,each,,,,,
76,"R3-7L LEFT LANE MUST TURN LEFT, 36X36",ASTM TYPE IV,5,each,,,,,
