RCOC Item Number,Description,Manufacturer,Part Number,Unit of Measure,Quantity,Unit Price,Extended Total
0752552,5 Gal Gas Can Type II Red w/5/8 Hose,Justrite,7250120,Each,10,$220.73,"$2,207.30"
0752560,2 Gal Gas Can Type II Red w/5/8 Hose,Justrite,7220120,Each,5,$175.62,$878.10
0755340,Tie Down 31 Bungee Strap w/S Hook,Goldline,635000076,Pack,5,$23.19,$115.95
0756166,7x7/8 Resin Disc 36 Grit,Forney,71654,Each,5,$7.89,$39.45
0757461,1/4 MNPT Safety Blow Gun,NAPA,90-489,Each,5,$26.99,$134.95
0760654,8 oz Pistol Grip Oiler w/Flex Hose,Plews,50-595,Each,10,$15.25,$152.50
0761107,150 Grit 1x50 Yds Emery Cloth,ARC,73138,Each,5,$28.23,$141.15
0762808,Flex Spout w/Spring Assembly and Gasket,Justrite,11078/11073,Each,5,$50.38,$251.90
0765018,18 GA Stove Wire 5lb Roll,Velvac,090185,Each,2,$28.15,$56.30

TOTAL BID:,,,,,,,"$3,977.60"
