Name,RFP NUMBER,Deadline,Status,Agency,Estimated Value,Est Profit,Priority,Suppliers Contacted,Quotes Status,Description,Submission Method
"ITB 4614 - Annual Bituminous Materials (Midland)",ITB 4614,2026-01-27 14:00,Awaiting Quotes,"City of Midland",242000,113000,CRITICAL,"Bit Mat Products (faxed 1/24)",0/1,"Annual supply of bituminous asphalt materials for road maintenance","Hand-deliver to City Clerk"
"ITB 4617 - Annual Sand & Black Dirt (Midland)",ITB 4617,2026-01-27 14:00,Awaiting Quotes,"City of Midland",207000,76000,CRITICAL,"Fisher Sand & Gravel (faxed 1/24)",0/1,"Annual supply of sand and black dirt for municipal use","Hand-deliver to City Clerk"
"ITB 4616 - Annual Crushed Limestone (Midland)",ITB 4616,2026-01-27 14:00,Awaiting Quotes,"City of Midland",117000,45000,CRITICAL,"Fisher Sand & Gravel (faxed 1/24)",0/1,"Annual supply of crushed limestone for road projects","Hand-deliver to City Clerk"
"ITB 4615 - Annual Concrete Supply (Midland)",ITB 4615,2026-01-27 14:00,Awaiting Quotes,"City of Midland",220000,145000,CRITICAL,"Fisher Sand & Gravel (faxed 1/24)",0/1,"Annual supply of ready-mix concrete","Hand-deliver to City Clerk"
"RFQ W912D0-26-Q-025982 - Steel Storage Containers (Alaska JBER)",W912D0-26-Q-025982,2026-01-27 16:00,Awaiting Quotes,"U.S. Army Corps of Engineers - Alaska",52000,10500,HIGH,"5 container companies (all emailed 1/24)",0/5,"6 steel storage containers (20ft and 40ft) for Joint Base Elmendorf-Richardson Alaska","SAM.gov upload"
"ITB W-1699 - Warren DDA Landscape Maintenance (5 years)",ITB W-1699,2026-01-27 12:30,Conditional - May Skip,"City of Warren Downtown Development Authority",600000,87000,CONDITIONAL,"5 landscape companies (emailed 1/23)","0/5 - Need 10+ yr municipal exp","5-year landscape maintenance contract (lawn snow sweeping) for downtown district","BidNet electronic"
"ITB MH 26-03 - Madison Heights Yard & Lawn Services",ITB MH 26-03,2026-01-28 13:00,Awaiting Quotes,"City of Madison Heights",53000,13000,HIGH,"Cut King Under Cutters Leys (emailed 1/22)","0/3 - Must notarize Sunday","Annual lawn mowing and yard maintenance services","Hand-deliver to City Clerk"
"RFQ Oak-0000001089 - Oakland County Body Bags (Cadaver Bags)",Oak-0000001089,2026-01-29 11:00,Ready to Bid,"Oakland County Medical Examiner",25000,4000,READY,"Mopec (quote received)","1/1 - $762.92 + shipping","Cadaver bags and body transport supplies for medical examiner","Email to danielsj@oakgov.com"
"RFQ 7000205103 - CPS Energy Industrial Wipers (3 years)",7000205103,2026-01-31 12:00,Ready to Bid,"CPS Energy - San Antonio TX",419000,42500,READY,"Grainger (quote) Sunbelt (pending) Fastenal (declined)","1/3 - $419188 from Grainger","3-year contract for shop towels and industrial wipers","Email to tkern@cpsenergy.com"
"RFB #188 - Jackson County Road Salt (2026-2027 season)",RFB #188,2026-02-03 10:15,Awaiting Quotes,"Jackson County Road Commission",1800000,236000,HIGH,"Detroit Salt Company (faxed 1/22)",0/1,"Sodium chloride (road salt) supply for winter 2026-2027","EMAIL ONLY to jcouling@mijackson.org"
"ITB SH26-002 - Sterling Heights Bulk Aggregate Materials",ITB SH26-002,2026-02-03 14:30,No Contact Yet,"City of Sterling Heights",103000,32000,URGENT,"None yet - NEED TO CONTACT TODAY",0/1 needed,"Bulk aggregate materials (sand gravel crushed concrete)","MITN electronic portal ONLY"
"ITB 2026-004 - HCMA Liquid Chlorine (2 years)",ITB 2026-004,2026-02-18 13:00,Not Started,"Housing Commission of Macomb County",58500,10000,Future,"None yet","0/3 needed - Questions due 2/4","2-year supply of liquid chlorine for swimming pools at Hubbard Manor East & West","BidNet Direct portal"
